Latitude,Longitude,Price,LRTHubDist,PC1,PC2,PC3,PC4,DBSCAN_Cluster
120.9905434,14.6514006,-0.2620332246328312,-0.7772551932870408,-0.3301834229872205,-1.1841380301061637,-0.4121509080225139,0.7311117437839532,-1
120.966768,14.6567775,-0.0941439695252955,-0.5607071050365384,0.8657018783099557,-0.1723526010280081,-0.0827995971941031,0.4312086895829034,0
120.9803696,14.6466102,-0.3333861580535338,-0.8520569590320646,0.2130324200659151,-1.44580459970536,0.165400098199273,0.173985843666454,0
121.0259445,14.6858751,-0.3879501659634829,-0.2949418006032891,0.8977358976559346,-1.251679152492844,0.5494691751046731,-0.1121441482221716,0
121.0103712,14.6818912,-0.3040055384097151,-0.3691864375435881,1.416760408302412,-1.2285084526063033,0.5235262691989573,-0.7023824240557318,0
121.0769537,14.7471848,-0.345977852186599,1.4122064101999343,1.639280568120355,-1.527999192629513,0.2218132141269092,-1.1815059759850093,0
120.973486,14.302195,-0.5323349253559636,2.603563377644836,-0.3824950363503536,-0.9352071658599274,1.7568594038669698,-1.9188148415797928,-1
120.936807,14.409725,-0.5287169119083962,0.2868228980368371,0.8333888280936379,-0.7245029460984115,0.6586180381569394,-1.2795633041079548,0
121.0088385,14.260047,-0.442514173873432,3.662885199481056,2.897539473681313,-1.5075790821200437,-0.2211739559610075,-1.1404981477815208,-1
120.987297,14.342521,-0.4131335542296133,1.7547280352708157,-0.2260326588337209,-1.107789190268806,1.5392675046922994,-2.286621279790746,-1
120.98341,14.124996,0.2416345406897758,6.582184721486231,2.9312665607178228,-1.4415788880536708,-0.2309807059867336,-1.073742511251324,-1
120.927176,14.402725,-0.5147065535696723,0.5218199971441874,1.0089193254985374,-0.7855704498585128,0.6504385638085742,-1.481677881901572,0
120.927176,14.402725,-0.5566788673465562,0.5218199971441874,0.949985394645747,-0.9413113538510048,0.5269754250160563,-1.6232813662815733,0
120.8548113,14.4154313,-0.5675916689285461,1.5598767012143548,2.341031349814512,-1.047146975507362,-0.5868172685156952,-0.857821165139219,-1
120.927176,14.402725,-0.5566788673465562,0.5218199971441874,0.949985394645747,-0.9413113538510048,0.5269754250160563,-1.6232813662815733,0
120.927176,14.402725,-0.5147065535696723,0.5218199971441874,0.993332877679496,-0.8316262762044171,0.6109923833078803,-1.5206926426518046,0
120.927176,14.402725,-0.5147065535696723,0.5218199971441874,0.994989469387792,-0.8274344897975412,0.6142032224782685,-1.5167720544876095,0
120.927176,14.402725,-0.5566788673465562,0.5218199971441874,0.949985394645747,-0.9413113538510048,0.5269754250160563,-1.6232813662815733,0
120.9289746,14.4234269,-0.3879501659634829,0.1150387177287858,1.0000486132167046,-0.7183068072184798,0.9723308109064716,-1.282259308936769,0
120.8527969,14.0892003,4.8612047707415815,7.690125606107509,7.273105970155664,6.843833159321444,7.721924398968703,8.599058480919057,-1
121.0088385,14.260047,0.3675514820204276,3.662885199481056,3.2247011067026548,-0.6488633635164576,0.4560396022943488,-0.3562922653961572,-1
120.95723,14.29869,-0.5558394210710186,2.669818615337782,-1.3745603408341982,-0.3848738345703483,0.1565068364700385,-1.132948449892005,-1
120.95579,14.349371,-0.5688508383418526,1.5344177384574602,-0.1026560230401625,-1.0706220867839806,1.684587714048082,-2.2615179623157644,-1
120.8818388,14.4464724,-0.4299224797403668,0.7899318005694163,2.320597072961087,-0.8065356224583122,0.507711885161764,-1.59792051648014,0
120.9057104,14.0984134,-0.4467114052511204,7.24621242063215,3.246692964972577,-0.9320974254493216,0.3514750326946668,-0.4589519064011071,-1
120.914866,14.264605,-0.5575183136220939,3.542485236143887,1.4478072096862142,-0.1824052971979176,0.727396900315835,-2.573846697172342,-1
120.9570844,14.4574203,-0.5054726445387578,-0.8624645270851141,0.1245520371123559,-0.8630921184119638,1.1495649590310153,-0.8241308212360763,-1
