Latitude,Longitude,Price,LRTHubDist,PC1,PC2,PC3,PC4,Cluster
120.9803696,14.6466102,0.3902701822285083,-1.0378535991772675,-0.0432262418874055,1.8517455248711745,-0.0108427130282034,-0.9350867475069888,0
121.0204681,14.738791,-0.3059655530037857,0.8877726228108404,-1.2665018788582532,2.0142667633527185,0.5589435410124916,-0.2703599716132153,-1
120.9712342,14.6480796,-0.0042172621874038,-0.8201547359170802,-0.6108606239863399,1.9220006369123543,0.4643052073443576,-0.9951554389199948,0
120.9803696,14.6466102,-0.2215313982340641,-1.0378535991772675,-0.0354236963298066,1.8299548145947555,-0.0297109917821503,-0.9771749724159868,0
120.9905434,14.6514006,-0.1633964064254034,-0.9548358473939108,0.3971783751717378,1.4611491382214956,-0.5841311659813317,-0.5857659954920645,-1
121.030937,14.770899,-0.3233783672169512,1.6968834300320026,-1.6333212518930185,1.990106056296792,0.5371259560600138,0.5262421436476987,-1
120.9905434,14.6514006,-0.1495547417090556,-0.9548358473939108,0.3964969831300743,1.461082365820528,-0.5784410901590545,-0.573771665341626,-1
121.0103712,14.6818912,-0.2810505565143597,-0.5019461283152287,-1.2263855084159625,2.0201985245968506,0.5274539985761014,0.0197487757934401,1
121.0322912,14.7701307,-0.3222987173690761,1.6808012662883314,-1.58993395661666,1.9847232422419336,0.5330282278741235,0.4425978122174657,-1
120.9949718,14.6614257,-0.2256838976489685,-0.8986065659836515,-0.2777596738114903,1.852010853263607,0.0594420144183617,-0.6942749116637962,0
120.9949718,14.6614257,-0.0069855951306733,-0.8986065659836515,-0.286979854231477,1.8568579765238136,0.1246351280673864,-0.5562615944248377,0
120.9905434,14.6514006,-0.12187141227636,-0.9548358473939108,0.3971783751717378,1.4611491382214956,-0.5841311659813317,-0.5857659954920645,-1
121.0114234,14.6703158,-0.2768980570994553,-0.7606232201853168,-1.1901576879333002,2.11462290065605,0.4902721300961725,0.0756324837290432,1
