Latitude,Longitude,Price,LRTHubDist,PC1,PC2,PC3,PC4,Cluster
120.99083,14.65739,-0.2695558791458328,-0.9893484601894812,-0.8749311249927985,-1.3833471455902877,-0.3633765522644079,-0.2859752988207205,3
120.9905434,14.6514006,-0.1481474171362978,-0.99674478098947,-0.8661736124370465,-1.7021760344676131,-0.4583020237102606,1.28447263789938,3
120.9905434,14.6514006,-0.1481474171362978,-0.99674478098947,-0.8661736124370465,-1.7021760344676131,-0.4583020237102606,1.28447263789938,3
120.9905434,14.6514006,-0.1934686441478117,-0.99674478098947,-0.8888650610682227,-1.8815473387566493,-0.5544385021244764,0.390645140418744,3
120.9905434,14.6514006,-0.1481474171362978,-0.99674478098947,-0.8661736124370465,-1.7021760344676131,-0.4583020237102606,1.28447263789938,3
120.9905434,14.6514006,-0.1481474171362978,-0.99674478098947,-0.8661736124370465,-1.7021760344676131,-0.4583020237102606,1.28447263789938,3
120.9905434,14.6514006,-0.1481474171362978,-0.99674478098947,-0.8661736124370465,-1.7021760344676131,-0.4583020237102606,1.28447263789938,3
120.9803696,14.6466102,-0.2308817654293409,-1.074397597417727,-1.3991796103112872,-1.6720733576580131,0.1557201097364536,-0.4505697110123416,3
120.9803696,14.6466102,-0.2668610941637859,-1.074397597417727,-1.4002647606373015,-1.676379578338996,0.1531649201185999,-0.4735094794905606,3
121.0769537,14.7471848,-0.2364444804159596,1.276167606558024,-1.9280785320785467,-0.1834332158946311,1.5420571471124132,-0.7580838145508105,1
120.9832878,14.6583549,-0.2415077651384027,-1.0683151030732467,-1.0114304294474952,-1.3985538612629758,-0.2632961199248356,0.0929790074702622,3
120.9832878,14.6583549,-0.249385518752885,-1.0683151030732467,-1.0169869381553354,-1.4817345864372813,-0.3143970465796807,-0.3641803766863789,3
120.9832878,14.6583549,-0.174195050803798,-1.0683151030732467,-1.0158089789198592,-1.4770600705664774,-0.3116233210076683,-0.3392786543251544,3
120.9832878,14.6583549,-0.2249382693573287,-1.0683151030732467,-0.9915232481001716,-1.2302314126685667,-0.1737157201353762,0.9279478884607308,3
120.9832878,14.6583549,-0.257472315664682,-1.0683151030732467,-1.0163529819122428,-1.4792188469868122,-0.3129042779081976,-0.3507787224701563,3
120.9832878,14.6583549,-0.2241982571885483,-1.0683151030732467,-1.0114525608028284,-1.3986416855005483,-0.2633482323446734,0.0925111569289301,3
120.9832878,14.6583549,-0.2759839256333238,-1.0683151030732467,-1.0163529819122428,-1.4792188469868122,-0.3129042779081976,-0.3507787224701563,3
120.986118,14.659215,-0.2643849823775176,-1.0379989041839883,-1.0305430370499309,-1.3554429280482574,-0.2434515818860266,-0.3444169480758123,3
120.986118,14.659215,-0.2442955610052309,-1.0379989041839883,-1.029602097490926,-1.3517089814314578,-0.2412359635200192,-0.3245257540927252,3
120.9803696,14.6466102,-0.2688522619228229,-1.074397597417727,-1.4002433431966566,-1.676294587141345,0.1532153514926363,-0.4730567209021747,3
120.9905434,14.6514006,-0.1467401826902782,-0.99674478098947,-0.8674229631413393,-1.707133854330587,-0.4612438538623948,1.258061720243536,3
120.98631,14.65148,-0.229546272347236,-1.076555942697766,-0.8072918511035871,-1.999139045133044,-0.8096168242337293,-0.1350943208458426,3
120.9905434,14.6514006,-0.1481474171362978,-0.99674478098947,-0.8661736124370465,-1.7021760344676131,-0.4583020237102606,1.28447263789938,3
120.986118,14.659215,-0.2586913394017545,-1.0379989041839883,-1.0301703735827077,-1.3539640812091305,-0.24257407597779,-0.3365389486378978,3
120.9905434,14.6514006,-0.1376069552072881,-0.99674478098947,-0.867387267406931,-1.706992202334502,-0.4611598015723339,1.2588163178908458,3
120.9905434,14.6514006,-0.1936755903898734,-0.99674478098947,-0.8888650610682227,-1.8815473387566493,-0.5544385021244764,0.390645140418744,3
120.9905434,14.6514006,-0.230351293228856,-0.99674478098947,-0.8948856143233717,-1.9665695398800596,-0.6066321085501143,-0.0763240131529251,3
121.0357666,14.74573504,-0.299721743030361,0.9151356614282626,-1.8906102605887232,-0.5167161815351707,1.327470774397423,-0.7629153516614013,1
120.9905434,14.6514006,-0.178637496800056,-0.99674478098947,-0.8931722190717699,-1.959770244067981,-0.6025975986271872,-0.0401033260820531,3
120.9905434,14.6514006,-0.1725284437343944,-0.99674478098947,-0.888401016520914,-1.8797058628075447,-0.5533458223536837,0.4004549098337718,3
120.9803696,14.6466102,-0.2679141056254766,-1.074397597417727,-1.4002647606373015,-1.676379578338996,0.1531649201185999,-0.4735094794905606,3
120.9905434,14.6514006,-0.2336851971884701,-0.99674478098947,-0.9107712035424148,-2.0578022991318163,-0.6487258301573506,-0.4865812088210756,3
120.9905434,14.6514006,-0.2543798213946409,-0.99674478098947,-0.888900756802631,-1.8816889907527343,-0.5545225544145375,0.3898905427714341,3
120.9803696,14.6466102,-0.2371618940551068,-1.074397597417727,-1.3991796103112872,-1.6720733576580131,0.1557201097364536,-0.4505697110123416,3
121.0397904,14.7528462,-0.271970251969886,1.094026783280064,-1.698048933610456,-0.3254255411989881,1.190055226211441,-0.2741041349792382,1
120.9905434,14.6514006,-0.2405834052571937,-0.99674478098947,-0.9054168433811594,-2.036554499719071,-0.6361179866482037,-0.3733915617246004,3
120.9803696,14.6466102,-0.2736948039870669,-1.074397597417727,-1.4003147346654734,-1.676577891133515,0.1530472469125144,-0.4745659161967944,3
121.0075838,14.6556451,-0.2442808447820296,-1.0661665615270135,-1.5644999659328656,-0.2315523107151638,1.1892868186617436,-0.6701311400408371,1
120.9905434,14.6514006,-0.1767611842053632,-0.99674478098947,-0.8932436105405868,-1.960053548060151,-0.6027657032073092,-0.0416125213766728,3
120.9905434,14.6514006,-0.1248038810317372,-0.99674478098947,-0.8513945909846627,-1.61533448709449,-0.4188139230949145,1.6713373065009258,3
120.9905434,14.6514006,-0.1724704987866171,-0.99674478098947,-0.888401016520914,-1.8797058628075447,-0.5533458223536837,0.4004549098337718,3
121.0409288,14.75480157,-0.2932857149022419,1.1436401662475304,-1.7097926000419483,-0.7212223571295605,0.9803240005606644,-1.1169883239993776,1
120.9905434,14.6514006,-0.2173364440655953,-0.99674478098947,-0.894814222854555,-1.9662862358878896,-0.6064640039699923,-0.0748148178583054,3
121.03727,14.7489,-0.2848836974745365,0.99342569552412,-1.8562062152070435,-0.5176768672491171,1.2990984211538084,-0.7438685889999964,1
121.0397904,14.7528462,-0.2643028937014998,1.094026783280064,-1.698048933610456,-0.3254255411989881,1.190055226211441,-0.2741041349792382,1
120.881059,14.34661,-0.2770015290068903,2.014708149207141,-0.2478173748867713,-0.2776246441598604,2.818276535102117,-0.9231566823726352,1
120.893418,14.387925,-0.2582124657976237,1.0826979451543877,0.1331815267277342,-0.4027614998804097,2.4653188988521872,-0.2949661231765936,1
120.893418,14.387925,-0.2626576710771092,1.0826979451543877,0.1280033928046228,-0.4844407138962147,2.4151089264719885,-0.7441267722717505,1
120.893418,14.387925,-0.2575187819942329,1.0826979451543877,0.1332100833152611,-0.4026481782835418,2.465386140684236,-0.2943624450587457,1
120.9658829949,14.2755768886,-0.2357163331650574,3.1215950414609543,0.2432782453731821,-2.9123980355065093,1.5650037609288767,-0.1433938890605242,3
120.9658829949,14.2755768886,-0.194501250710035,3.1215950414609543,0.2485848839401637,-2.8302088743047986,1.6155163215532948,0.3084833115649481,3
120.9658829949,14.2755768886,-0.2362137905417253,3.1215950414609543,0.2432782453731821,-2.9123980355065093,1.5650037609288767,-0.1433938890605242,3
120.9658829949,14.2755768886,-0.2591809742104725,3.1215950414609543,0.2428284791196366,-2.91418285065718,1.5639447020741082,-0.1529018194166282,3
120.9658829949,14.2755768886,-0.2591809742104725,3.1215950414609543,0.2428284791196366,-2.91418285065718,1.5639447020741082,-0.1529018194166282,3
120.9658829949,14.2755768886,-0.2334900882714544,3.1215950414609543,0.2432711062263004,-2.912426365905726,1.5649869504708644,-0.1435448085899862,3
120.9658829949,14.2755768886,-0.2591809742104725,3.1215950414609543,0.2428284791196366,-2.91418285065718,1.5639447020741082,-0.1529018194166282,3
120.9658829949,14.2755768886,-0.1974104733881063,3.1215950414609543,0.2485848839401637,-2.8302088743047986,1.6155163215532948,0.3084833115649481,3
120.9658829949,14.2755768886,-0.1995923903966596,3.1215950414609543,0.2485848839401637,-2.8302088743047986,1.6155163215532948,0.3084833115649481,3
120.9658829949,14.2755768886,-0.2332290462817177,3.1215950414609543,0.2432782453731821,-2.9123980355065093,1.5650037609288767,-0.1433938890605242,3
120.9658829949,14.2755768886,-0.2591809742104725,3.1215950414609543,0.2428284791196366,-2.91418285065718,1.5639447020741082,-0.1529018194166282,3
