Price,Num_Bedrooms,Num_Bathrooms,Floor_Area,Land_Area,LRTHubDist,BusCount,MallCount,SchoolCount,HospitalCount,ATMCount,employment_generation,local_economy_growth,local_economy_size,presence_of_business_and_professional_organizations,safety_compliant_business,Cluster
150000000.0,0.0,0.0,0.0,4995.0,20.7715988540879,3,0,5,0,0,0.5438,0.0007,0.3241,0.0006,0.6486,1
10800000.0,0.0,0.0,60.0,900.0,11.9565795898763,13,1,3,2,0,0.3407,0.0132,0.703,0.0155,1.4269,1
167474999.99999997,0.0,0.0,3750.0,3000.0,19.7659485925217,12,1,0,0,0,0.5837,0.0121,0.1525,0.2494,1.4727,1
162500000.0,0.0,0.0,13000.0,0.0,12.3221941799372,0,2,6,1,1,0.169,0.0006,0.0934,0.0181,0.3365,1
230000000.0,0.0,0.0,0.0,1698.0,9.43386668635108,0,0,1,0,0,0.254,0.0116,0.2906,0.0843,1.043,1
195000000.0,0.0,0.0,0.0,1441.0,9.43386668635108,0,0,1,0,0,0.254,0.0116,0.2906,0.0843,1.043,1
210000000.0,0.0,0.0,0.0,1552.0,9.43386668635108,0,0,1,0,0,0.254,0.0116,0.2906,0.0843,1.043,1
60000000.0,0.0,0.0,1354.0,3696.0,19.7659485925217,12,1,0,0,0,0.5837,0.0121,0.1525,0.2494,1.4727,1
68000000.0,0.0,0.0,1500.0,1331.0,39.6732735102295,2,0,3,0,2,0.4558,0.0,0.0527,0.0,1.3514,1
170000000.0,0.0,0.0,4873.0,0.0,18.4137582278993,1,0,1,1,0,1.2716,0.0014,0.1551,0.0274,1.3626,1
35000000.0,0.0,0.0,450.0,727.0,29.1681702241791,0,0,2,0,0,0.0734,0.0008,0.0158,0.0076,0.2389,1
185000000.0,0.0,0.0,0.0,1370.0,9.43386668635108,0,0,1,0,0,0.254,0.0116,0.2906,0.0843,1.043,1
70000000.0,0.0,0.0,0.0,1681.0,11.7321528216741,6,0,1,0,0,0.3407,0.0132,0.703,0.0155,1.4269,1
35000000.0,0.0,0.0,450.0,727.0,29.1681702241791,0,0,2,0,0,0.0734,0.0008,0.0158,0.0076,0.2389,1
167474999.99999997,0.0,0.0,3705.0,3000.0,4.89585595178816,12,1,7,2,2,0.5837,0.0121,0.1525,0.2494,1.4727,0
167999999.99999997,0.0,0.0,3705.0,3000.0,19.3578342682839,17,1,3,1,0,0.5837,0.0121,0.1525,0.2494,1.4727,1
167474999.99999997,0.0,0.0,2112.0,3000.0,19.2884441736279,2,0,1,0,0,0.5837,0.0121,0.1525,0.2494,1.4727,1
150000000.0,0.0,0.0,1500.0,2000.0,37.5736740624449,2,2,1,2,4,0.1088,0.0136,0.0487,0.0026,0.2485,1
20000000.0,0.0,0.0,800.0,1000.0,32.0299260687064,0,0,3,0,0,0.6885,0.0,0.0578,0.0008,1.3152,1
49999999.99999999,0.0,0.0,1200.0,1671.0,4.01047919768598,13,3,23,2,1,0.254,0.0116,0.2906,0.0843,1.043,0
65000000.0,0.0,0.0,0.0,1700.0,25.1629703948562,17,0,8,4,1,0.5438,0.0007,0.3241,0.0006,0.6486,1
167476000.0,0.0,0.0,3750.0,3000.0,19.7659485925217,12,1,0,0,0,0.5837,0.0121,0.1525,0.2494,1.4727,1
4300000.0,0.0,0.0,19.05,0.0,26.1110877080702,0,0,1,0,1,0.5438,0.0007,0.3241,0.0006,0.6486,1
32000000.0,0.0,0.0,948.0,375.0,14.0265999105002,0,0,0,0,0,0.3407,0.0132,0.703,0.0155,1.4269,1
80000000.0,0.0,0.0,1982.0,2582.0,19.263851248999,10,0,6,0,3,0.7907,0.0009,0.9584,0.035,0.4702,1
165700000.0,0.0,0.0,0.0,0.0,19.7659485925217,12,1,0,0,0,0.5837,0.0121,0.1525,0.2494,1.4727,1
135000000.0,0.0,0.0,2000.0,743.0,4.32900554481097,4,2,4,1,2,0.3538,0.0121,0.1372,0.0301,0.947,1
165700000.0,0.0,0.0,0.0,0.0,19.7659485925217,12,1,0,0,0,0.5837,0.0121,0.1525,0.2494,1.4727,1
32000000.0,0.0,0.0,350.0,1000.0,44.1829170234738,2,1,4,0,1,0.1218,0.0016,0.0136,0.0152,0.2777,1
150000000.0,0.0,0.0,2690.0,4873.0,18.4137582278993,1,0,1,1,0,1.2716,0.0014,0.1551,0.0274,1.3626,1
28000000.0,0.0,0.0,1200.0,570.0,5.19336427601247,0,0,13,0,1,0.254,0.0116,0.2906,0.0843,1.043,1
165700000.0,0.0,0.0,4272.0,3000.0,19.3578342682839,17,1,3,1,0,0.5837,0.0121,0.1525,0.2494,1.4727,1
320000000.0,0.0,0.0,8641.0,16652.0,18.8978177000929,8,2,2,2,2,0.3407,0.0132,0.703,0.0155,1.4269,1
135000000.0,0.0,0.0,0.0,4873.0,18.4137582278993,1,0,1,1,0,1.2716,0.0014,0.1551,0.0274,1.3626,1
167474999.99999997,0.0,0.0,3750.0,3000.0,16.0905273573523,12,1,6,0,4,0.0141,0.2089,0.0335,0.0034,0.0981,1
170000000.0,0.0,0.0,5341.75,4873.0,18.4137582278993,1,0,1,1,0,1.2716,0.0014,0.1551,0.0274,1.3626,1
10000000.0,0.0,0.0,300.0,175.0,16.8169713053737,0,0,2,0,0,0.3407,0.0132,0.703,0.0155,1.4269,1
900000000.0,0.0,0.0,11487.0,2541.8,1.72884790506147,0,0,4,0,0,0.3538,0.0121,0.1372,0.0301,0.947,1
167474999.99999997,0.0,0.0,2112.0,3000.0,19.7659485925217,12,1,0,0,0,0.5837,0.0121,0.1525,0.2494,1.4727,1
63520000.0,0.0,0.0,0.0,1588.0,9.45685746964893,3,0,3,1,1,0.3538,0.0121,0.1372,0.0301,0.947,1
229230000.0,0.0,0.0,0.0,1698.0,9.43386668635108,0,0,1,0,0,0.254,0.0116,0.2906,0.0843,1.043,1
209520000.0,0.0,0.0,0.0,1552.0,9.43386668635108,0,0,1,0,0,0.254,0.0116,0.2906,0.0843,1.043,1
250000000.0,0.0,0.0,0.0,10471.0,38.5912020719823,0,0,2,0,0,0.6064,0.0034,0.1271,0.1166,0.8427,1
170000000.0,0.0,0.0,6563.0,2354.0,4.48341829644017,1,0,4,1,0,0.3538,0.0121,0.1372,0.0301,0.947,1
7123200.0,0.0,0.0,104.0,132.0,14.6402542171749,0,0,2,0,0,0.3407,0.0132,0.703,0.0155,1.4269,1
38794000.0,0.0,0.0,0.0,683.0,13.2835905668804,5,0,0,0,1,0.5837,0.0121,0.1525,0.2494,1.4727,1
55000000.0,0.0,0.0,0.0,982.0,13.6579758608846,1,1,5,1,0,1.2716,0.0014,0.1551,0.0274,1.3626,1
9000000.0,0.0,0.0,200.0,75.0,13.2835905668804,5,0,0,0,1,0.5837,0.0121,0.1525,0.2494,1.4727,1
48705000.0,0.0,0.0,0.0,850.0,13.2835905668804,5,0,0,0,1,0.5837,0.0121,0.1525,0.2494,1.4727,1
3800000.0,0.0,0.0,76.0,69.75,15.103758477951,0,0,2,0,0,0.3407,0.0132,0.703,0.0155,1.4269,1
28500000.0,0.0,0.0,0.0,600.0,13.2835905668804,5,0,0,0,1,0.5837,0.0121,0.1525,0.2494,1.4727,1
40922000.0,0.0,0.0,0.0,740.0,13.2835905668804,5,0,0,0,1,0.5837,0.0121,0.1525,0.2494,1.4727,1
36725000.0,0.0,0.0,0.0,650.0,13.2835905668804,5,0,0,0,1,0.5837,0.0121,0.1525,0.2494,1.4727,1
36725000.0,0.0,0.0,0.0,650.0,13.2835905668804,5,0,0,0,1,0.5837,0.0121,0.1525,0.2494,1.4727,1
24727500.0,0.0,0.0,0.0,525.0,13.2835905668804,5,0,0,0,1,0.5837,0.0121,0.1525,0.2494,1.4727,1
170000000.0,0.0,0.0,4873.0,4873.0,18.4137582278993,1,0,1,1,0,1.2716,0.0014,0.1551,0.0274,1.3626,1
25000000.0,0.0,0.0,800.0,1330.0,36.3070263709476,0,0,2,0,0,0.6885,0.0,0.0578,0.0008,1.3152,1
167474999.99999997,0.0,0.0,3760.0,3000.0,19.7659485925217,12,1,0,0,0,0.5837,0.0121,0.1525,0.2494,1.4727,1
14600000.0,0.0,0.0,0.0,1106.0,14.0180684711808,0,0,7,2,1,0.0141,0.2089,0.0335,0.0034,0.0981,1
40000000.0,0.0,0.0,642.0,1500.0,12.0062153833743,0,2,5,1,1,0.5438,0.0007,0.3241,0.0006,0.6486,1
115500000.0,0.0,0.0,2700.0,3300.0,19.263851248999,10,0,6,0,3,0.7907,0.0009,0.9584,0.035,0.4702,1
401870000.0,0.0,0.0,0.0,11482.0,8.2851422098801,0,0,3,1,0,0.0346,0.0122,0.0176,0.006,0.1979,1
120000.0,0.0,0.0,18246.0,0.0,1.98664210889069,10,1,10,0,4,0.3538,0.0121,0.1372,0.0301,0.947,1
17500000.0,0.0,0.0,0.0,308.0,6.30227169708128,0,1,9,2,1,0.254,0.0116,0.2906,0.0843,1.043,1
4996734.0,0.0,0.0,108.0,90.0,20.2561166269411,0,0,3,0,0,0.119,0.0092,0.0505,0.0034,0.6701,1
3600000.0,0.0,0.0,67.0,120.0,41.0392922991833,2,0,1,0,0,0.1088,0.0136,0.0487,0.0026,0.2485,1
25000000.0,0.0,0.0,1000.0,1785.0,19.2654915501224,9,2,4,2,3,0.3407,0.0132,0.703,0.0155,1.4269,1
36500000.0,0.0,0.0,1200.0,322.0,6.30227169708128,0,1,9,2,1,0.254,0.0116,0.2906,0.0843,1.043,1
7500000.0,0.0,0.0,0.0,389.0,6.30227169708128,0,1,9,2,1,0.254,0.0116,0.2906,0.0843,1.043,1
750000000.0,0.0,0.0,0.0,14836.0,20.080852301341,13,1,10,0,1,0.7907,0.0009,0.9584,0.035,0.4702,1
63560000.0,0.0,0.0,0.0,1589.0,9.45685746964893,3,0,3,1,1,0.3538,0.0121,0.1372,0.0301,0.947,1
21300000.0,0.0,0.0,0.0,370.0,10.0544559272852,0,0,2,0,0,0.3407,0.0132,0.703,0.0155,1.4269,1
62000000.00000001,0.0,0.0,1417.0,1876.0,25.1629703948562,17,0,8,4,1,0.5438,0.0007,0.3241,0.0006,0.6486,1
40000000.0,0.0,0.0,0.0,704.0,7.37997823376534,0,0,6,1,1,0.0346,0.0122,0.0176,0.006,0.1979,1
4500000.0,0.0,0.0,19.5,0.0,25.9421389435253,0,0,1,0,1,0.5438,0.0007,0.3241,0.0006,0.6486,1
271750000.0,0.0,0.0,0.0,10870.0,19.7659485925217,12,1,0,0,0,0.5837,0.0121,0.1525,0.2494,1.4727,1
130000000.0,0.0,0.0,0.0,1331.0,22.698437081916,0,0,3,0,0,0.1088,0.0136,0.0487,0.0026,0.2485,1
75000000.0,0.0,0.0,0.0,1700.0,25.1629703948562,17,0,8,4,1,0.5438,0.0007,0.3241,0.0006,0.6486,1
75000000.0,0.0,0.0,1292.0,2545.0,21.9819243507927,0,0,0,0,0,0.5438,0.0007,0.3241,0.0006,0.6486,1
45000000.0,0.0,0.0,0.0,833.0,16.875707431962,14,0,7,1,0,0.3407,0.0132,0.703,0.0155,1.4269,1
11731000.0,0.0,0.0,0.0,2483.0,14.4924039067914,32,1,14,3,15,0.5837,0.0121,0.1525,0.2494,1.4727,0
150000000.0,0.0,0.0,3069.0,4873.0,18.4137582278993,1,0,1,1,0,1.2716,0.0014,0.1551,0.0274,1.3626,1
120000000.0,0.0,0.0,1000.0,300.0,22.698437081916,0,0,3,0,0,0.1088,0.0136,0.0487,0.0026,0.2485,1
54871000.0,0.0,0.0,0.0,4045.0,22.4871737866629,11,0,7,0,0,0.5438,0.0007,0.3241,0.0006,0.6486,1
110000000.0,0.0,0.0,2248.81,2000.0,28.3398402910932,1,0,0,0,1,0.5438,0.0007,0.3241,0.0006,0.6486,1
80000000.0,0.0,0.0,2700.0,2895.0,20.080852301341,13,1,10,0,1,0.7907,0.0009,0.9584,0.035,0.4702,1
90000000.0,0.0,0.0,0.0,1251.0,15.025145400055,5,0,6,0,0,0.5837,0.0121,0.1525,0.2494,1.4727,1
150000000.0,0.0,0.0,1986.0,4696.0,25.1629703948562,17,0,8,4,1,0.5438,0.0007,0.3241,0.0006,0.6486,1
30000000.0,0.0,0.0,450.0,886.0,22.698437081916,0,0,3,0,0,0.1088,0.0136,0.0487,0.0026,0.2485,1
9091000.0,0.0,0.0,528.0,318.0,16.9852038218158,3,0,8,0,0,0.1307,0.0011,0.0418,0.0228,0.3339,1
9990000.0,0.0,0.0,170.0,200.0,17.877232859216,7,0,1,0,0,0.7907,0.0009,0.9584,0.035,0.4702,1
98500000.0,0.0,0.0,1968.0,2895.0,19.263851248999,10,0,6,0,3,0.7907,0.0009,0.9584,0.035,0.4702,1
60000000.0,0.0,0.0,1050.0,0.0,5.55838205042449,0,0,10,0,1,0.254,0.0116,0.2906,0.0843,1.043,1
