Location,URL,SKU,Title,Price,Category,Num_Bedrooms,Num_Bathrooms,Floor_Area,Land_Area,Description,Agent_Name,Agent_Link,Agent_Verification,File,Latitude,Longitude,LRTHubName,LRTHubDist,BusHubName,BusHubDist,HospitalHubName,HospitalHubDist,MallHubName,MallHubDist,SchoolHubName,SchoolHubDist,BusCount,HospitalCount,MallCount,SchoolCount,Concat,Property Type,Processed_Location,Matched_Zonal_Value
"Maypajo, Caloocan",https://www.lamudi.com.ph/buy/metro-manila/caloocan/rush-sale-caloocan-a-mabini-prime-commercial-lot-f-172456525281/,LA65F4042765FBEPH,RUSH SALE!! Caloocan A. Mabini Prime Commercial Lot for Sale!,61199999.99999999,land,0.0,0.0,0.0,811.0,Prime Caloocan Commercial Lot for Sale Maypajo Caloocan beside A. Mabini St. 765 sqm market value at 95k sqm now at 80k sqm!! Near Nlex Clean Title PRICE at 80k sqm 61.2M GROSS other commercial lots available 2. Prime Commercial Lot for Sale P Zamora,NDD.Property Plus,https://www.lamudi.com.ph/nikka-de-dios/,FULLY VERIFIED,Caloocan,120.9718576,14.6391951,R. Papa,1.17862096536732,n7604239104,0.694161803242025,w312353855,0.441908524550414,SM Center Sangandaan,2.12758033433329,w1205430235,0.11283740355869,3,2,0,20,61199999.99999999 land 0.0 0.0 0.0 811.0,CR,maypajo caloocan,35000
"Balintawak, Caloocan",https://www.lamudi.com.ph/buy/metro-manila/caloocan/commercial-residential-lot-for-sale-in-caloocan-ci-171687602213/,LA665572F64DCD0PH,Commercial Residential Lot for Sale in Caloocan City,737500000.0,land,0.0,0.0,0.0,2950.0,"Commercial Residential Lot for Sale in Caloocan City Lot area 2,950 square meters Vacant Lot Price P 250,000.00 square meter or P 737,500,000.00 negotiable",Avelina Panes-Acuna,https://www.lamudi.com.ph/goldmana-realty/,FULLY VERIFIED,Caloocan,121.0075838,14.6556451,Balintawak,0.46083552558969,n5401255243,0.286232363974977,r14604339,1.27072000863666,S&R Membership Shopping - Congressional,1.39212359861422,r16053819,0.168438538875639,10,0,0,6,737500000.0 land 0.0 0.0 0.0 2950.0,CR,balintawak caloocan,35000
"Santa Quiteria, Caloocan",https://www.lamudi.com.ph/buy/metro-manila/caloocan/residential-lot-for-sale-in-south-caloocan-city-ne-171535464015/,LA5FBE5764F0053PH,Residential Lot for Sale in South Caloocan City near Quezon City Valenzuela ,874508750.0,land,0.0,0.0,0.0,34980.35,"Residential vacant lot for sale in South Caloocan City, Metro Manila. Location is very near boundaries of Quezon City and Valenzuela City. Lot area is 34,980.35 sqm Along main road Asking price at Php 25,000 per sqm 1.5 kilometers to Quezon City Few mete",Beng Francisco,https://www.lamudi.com.ph/maria-annabelle-francisco/,FULLY VERIFIED,Caloocan,121.0103712,14.6818912,Balintawak,2.80419759670723,n10181905287,0.902190460080842,n255071258,0.794016717018822,YIC City Square,1.14764761617793,w677535585,0.169994658517088,2,1,0,9,874508750.0 land 0.0 0.0 0.0 34980.35,CR,santa quiteria caloocan,18000
"Deparo, Caloocan",https://www.lamudi.com.ph/projects/metrovilla-centre/408-sqm-corner-residential-lot-for-sale-in-bf-home-169880263119/,LA5DD4F69405F44PH,408 sqm Corner Residential Lot For Sale in BF Homes Phase 3 Caloocan,7344000.0,land,0.0,0.0,0.0,408.0,"Resale Residential Land for sale in BF Homes Phase 3, Caloocan City, MM PRIME CORNER LOT 408 SQM Blk 20 Lot 16 Golden Shower St. corner Yellowbell St. Co Owners disposing for easy proceed distribution P18,000 sqm net still negotiable First come.",Gabriel Barretto REB REA EnP,https://www.lamudi.com.ph/gabriel-c-barretto/,FULLY VERIFIED,Caloocan,121.0204681,14.738791,Roosevelt,8.98246784641458,n10285777984,2.05383617453091,w796759425,1.28639393246835,Rustan’s Supercenter,3.14588656454041,n10889215132,0.223599820429693,0,0,0,12,7344000.0 land 0.0 0.0 0.0 408.0,CR,deparo caloocan,35000
"Tala, Caloocan",https://www.lamudi.com.ph/buy/metro-manila/caloocan/7-min-from-altaraza-4ha-quirino-hway-commercial-lo-172343975951/,LA66B99A8FF1F95PH,7 min. from Altaraza .4ha Quirino Hway Commercial Lot,243660000.0,land,0.0,0.0,0.0,4061.0,For Sale Commercial Lot along Quirino Highway 184 Tala Caloocan 80 m 1 min walk to Savemore Market bankers 1.6km 6 min drive from Altaraza Ayala Land Estate 1.6km 6 min drive from Toyota San Jose Del Monte 1.6km 6 min drive from STI Acade,Marifil Ramirez,https://www.lamudi.com.ph/marifil-l-ramirez/,FULLY VERIFIED,Caloocan,121.08289763422,14.767640254552,Roosevelt,13.8745940479634,n10298155440,0.39609565555574,w304117640,0.258927850889946,Rustan’s Supercenter,4.4133427301983,w250878420,0.467352309922904,3,2,0,6,243660000.0 land 0.0 0.0 0.0 4061.0,CR,tala caloocan,38000
"Bagumbong, Caloocan",https://www.lamudi.com.ph/buy/metro-manila/caloocan/for-sale-vacant-residential-lot-in-rainbow-subdivi-172189207386/,LA656C2F04B8ADAPH,"FOR SALE Vacant Residential Lot in Rainbow Subdivision, Caloocan",6480000.0,land,0.0,0.0,0.0,216.0,"FOR SALE Vacant Residential Lot in Rainbow Subdivision, Caloocan 2 Lots, 216 sqm per lot Key Features Size 216 sqm per lot two lots available Location Near La Consolacion College Deparo 200 meters and Bagumbong High School 150 meters Price ",Rebap Greenhills,https://www.lamudi.com.ph/rebap-greenhills-agn-563713/,FULLY VERIFIED,Caloocan,121.0176813,14.7514674,Roosevelt,10.391330191022,n2456432699,2.65106015041577,w796759425,2.22717392585057,Rustan’s Supercenter,2.84423322734759,n10798608696,0.575790537309688,0,0,0,3,6480000.0 land 0.0 0.0 0.0 216.0,CR,bagumbong caloocan,**
"Sangandaan, Caloocan",https://www.lamudi.com.ph/buy/metro-manila/caloocan/a-mabini-st-caloocan-prime-comml-property-80-sqm-c-171357607678/,LA64A48165971EBPH,"A. MABINI ST., Caloocan Prime Comml Property 80 sqm cor lot 15M gross",15000000.0,land,0.0,0.0,0.0,80.0,"A. MABINI STREET Prime Commercial Property near 999 Shopping Mall, Caloocan City Hall, church, schools, banks, fast food restaurants, retail outlets, etc. Lot Area 80 sqm corner lot 8 meters x 10 meters Orientation South East Price 15M gross .",Ramon Zamuco Jr.,https://www.lamudi.com.ph/mon-zamuco-jr/,FULLY VERIFIED,Caloocan,120.966768,14.6567775,Monumento,1.85923471695954,n7604239106,0.392839799230501,n255071554,0.469081616820906,Malabon Citisquare,0.502804110730051,n255070296,0.372095344453775,6,2,3,17,15000000.0 land 0.0 0.0 0.0 80.0,CR,sangandaan caloocan,57000
"Grace Park East, Caloocan",https://www.lamudi.com.ph/buy/metro-manila/caloocan/commercial-residential-buildings-for-sale-in-grace-park-caloocan-city/,CO614B350881AA2PH,"Commercial Residential Buildings For Sale in Grace Park, Caloocan City",120000000.0,commercial,0.0,0.0,1600.0,650.0,"Description A parcel of Commercial Land with existing 2 old but durable Buildings located along a wide 10 meter wide road in Grace Park, Caloocan City. Lot Area 650 square meters Lot Dimension 20 meters x 32.5 meters Frontage Exactly 20 meters, f",Victor Ng,https://www.lamudi.com.ph/victor-s-ng/,FULLY VERIFIED,Caloocan,120.9905434,14.6514006,Monumento,0.790786555433662,n12297138761,0.635062780590986,n255066691,0.261535047861406,North Mall,0.698302233073698,w40941344,0.414119972220873,15,10,2,15,120000000.0 commercial 0.0 0.0 1600.0 650.0,CR,grace park east caloocan,150000
"Bagumbong, Caloocan",https://www.lamudi.com.ph/buy/metro-manila/caloocan/msg-03-0259-perpetual-help-village-bagumbong-caloo-17066073335/,LA65B8C2E58E28DPH,"MSG 03 0259 PERPETUAL HELP VILLAGE, Bagumbong,Caloocan Foreclosed Residential Lot",2991000.0000000005,land,0.0,0.0,0.0,336.0,"All properties are offered on As is, Where is basis. Titles of properties are either under Seller s name or under various stages of consolidation in the Seller s name. Interested parties are therefore advised to check the title, the physical an",MSGRDC Alquileta,https://www.lamudi.com.ph/my-saving-grace-realty-development-corp/,FULLY VERIFIED,Caloocan,121.0176813,14.7514674,Roosevelt,10.391330191022,n2456432699,2.65106015041577,w796759425,2.22717392585057,Rustan’s Supercenter,2.84423322734759,n10798608696,0.575790537309688,0,0,0,3,2991000.0000000005 land 0.0 0.0 0.0 336.0,CR,bagumbong caloocan,1800
"Llano, Caloocan",https://www.lamudi.com.ph/projects/sunriser-village/msg-13-0025-sunriser-village-camarin-caloocan-city-17177462331/,LA650903777B87APH,"MSG 13 0025 Sunriser Village, Camarin, Caloocan City Foreclosed Residential Lot",2800000.0,land,0.0,0.0,0.0,90.0,"All properties are offered on As is, Where is basis. Titles of properties are either under Seller s name or under various stages of consolidation in the Seller s name. Interested parties are therefore advised to check the title, the physical an",MSGRDC Alquileta,https://www.lamudi.com.ph/my-saving-grace-realty-development-corp/,FULLY VERIFIED,Caloocan,121.0112016,14.7293452,Balintawak,8.0020605002997,n10285777978,1.15390017626895,n255058913,1.17003519569079,Rustan’s Supercenter,4.57894982806334,w985679860,0.205438830030289,0,0,0,9,2800000.0 land 0.0 0.0 0.0 90.0,CR,llano caloocan,113000
